year,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1989,97661,275517,187398,91384,32610,5914,260
1990,106002,266877,165993,83509,28748,5626,203
1991,109174,261729,150442,77078,26492,5507,184
1992,109379,251427,135551,70710,24138,5139,225
1993,105126,234557,124260,65287,23084,4688,219
1994,101863,220511,113347,59010,21680,4518,222
1995,97874,209667,108387,52521,19937,3921,189
1996,90962,201200,103447,48494,18931,3632,155
1997,81582,189802,101906,46102,19089,3535,139
1998,74486,179053,99043,44049,18145,3748,178
1999,64168,165448,95810,42221,16940,3784,137
2000,59628,163794,98000,42762,16255,3690,157
2001,55008,156246,99608,44502,16019,3683,170
2002,55548,158260,106055,49053,16716,3710,143
2003,54428,163197,113417,54269,18051,3924,167
2004,54010,169505,119641,58746,19696,4148,197
2005,50523,163792,122045,63015,21215,4260,200
2006,49821,172622,135711,71739,24774,4433,217
2007,48568,174577,139976,76252,27174,4871,230
2008,48564,183069,154457,85774,32086,5394,295
2009,44504,173481,160829,91149,35273,6110,313
2010,38680,159425,161755,93082,36982,6601,363
2011,35700,152369,166675,98457,40918,7294,390
2012,34422,150823,177101,105141,43986,8010,455
2013,30756,138956,171923,107140,45269,8335,394
2014,27795,122988,158288,103477,43718,8425,530
2015,24719,109320,138509,91313,38889,7891,506
2016,21932,99830,132510,93748,39563,8210,622
2017,18773,85744,119038,91477,39072,8360,862
